[2026-08-27 11:08:45.701] [motion] [warning] Current vehicle pose in super_segment 3013 raws is [121048.93mm, 67328.91mm, -91.15deg]
[2026-08-27 11:08:45.720] [motion] [warning] Last vehicle pose in location_interpolation 302 raws is [121048.93mm, 67328.91mm, -91.15deg]
[2026-08-27 11:08:45.720] [motion] [warning] Current vehicle pose in location_interpolation 306 raws is [121037.23mm, 67332.14mm, -91.25deg]
[2026-08-27 11:08:45.720] [motion] [warning] Current vehicle pose in super_omni_controller 204 raws is [121037.23mm, 67332.14mm, -91.25deg]
[2026-08-27 11:08:45.720] [motion] [warning] Last vehicle pose in location_interpolation 302 raws is [121037.23mm, 67332.14mm, -91.25deg]
[2026-08-27 11:08:45.720] [motion] [warning] Current vehicle pose in location_interpolation 306 raws is [121037.23mm, 67332.14mm, -91.25deg]
[2026-08-27 11:08:45.721] [motion] [warning] Current vehicle pose in super_omni_controller 204 raws is [121037.23mm, 67332.14mm, -91.25deg]
[2026-08-27 11:08:45.721] [motion] [warning] Current vehicle pose in super_segment 3013 raws is [121037.23mm, 67332.14mm, -91.25deg]
[2026-08-27 11:08:45.740] [motion] [warning] Last vehicle pose in location_interpolation 302 raws is [121037.23mm, 67332.14mm, -91.25deg]
[2026-08-27 11:08:45.740] [motion] [warning] Current vehicle pose in location_interpolation 306 raws is [121022.32mm, 67331.89mm, -91.22deg]
[2026-08-27 11:08:45.741] [motion] [warning] Current vehicle pose in super_omni_controller 204 raws is [121022.32mm, 67331.89mm, -91.22deg]
[2026-08-27 11:08:45.741] [motion] [warning] Last vehicle pose in location_interpolation 302 raws is [121022.32mm, 67331.89mm, -91.22deg]
[2026-08-27 11:08:45.741] [motion] [warning] Current vehicle pose in location_interpolation 306 raws is [121022.32mm, 67331.89mm, -91.22deg]
[2026-08-27 11:08:45.741] [motion] [warning] Current vehicle pose in super_omni_controller 204 raws is [121022.32mm, 67331.89mm, -91.22deg]
[2026-08-27 11:08:45.741] [motion] [warning] Current vehicle pose in super_segment 3013 raws is [121022.32mm, 67331.89mm, -91.22deg]
[2026-08-27 11:08:45.760] [motion] [warning] Last vehicle pose in location_interpolation 302 raws is [121022.32mm, 67331.89mm, -91.22deg]
[2026-08-27 11:08:45.760] [motion] [warning] Current vehicle pose in location_interpolation 306 raws is [121007.43mm, 67331.62mm, -91.20deg]
[2026-08-27 11:08:45.760] [motion] [warning] Current vehicle pose in super_omni_controller 204 raws is [121007.43mm, 67331.62mm, -91.20deg]
[2026-08-27 11:08:45.760] [motion] [warning] Last vehicle pose in location_interpolation 302 raws is [121007.43mm, 67331.62mm, -91.20deg]
[2026-08-27 11:08:45.760] [motion] [warning] Current vehicle pose in location_interpolation 306 raws is [121007.43mm, 67331.62mm, -91.20deg]
[2026-08-27 11:08:45.760] [motion] [warning] Current vehicle pose in super_omni_controller 204 raws is [121007.43mm, 67331.62mm, -91.20deg]
[2026-08-27 11:08:45.760] [motion] [warning] Current vehicle pose in super_segment 3013 raws is [121007.43mm, 67331.62mm, -91.20deg]
[2026-08-27 11:08:45.780] [motion] [warning] Last vehicle pose in location_interpolation 302 raws is [121007.43mm, 67331.62mm, -91.20deg]
[2026-08-27 11:08:45.780] [motion] [warning] Current vehicle pose in location_interpolation 306 raws is [120992.53mm, 67331.37mm, -91.18deg]
[2026-08-27 11:08:45.780] [motion] [warning] Current vehicle pose in super_omni_controller 204 raws is [120992.53mm, 67331.37mm, -91.18deg]
[2026-08-27 11:08:45.781] [motion] [warning] Last vehicle pose in location_interpolation 302 raws is [120992.53mm, 67331.37mm, -91.18deg]
[2026-08-27 11:08:45.781] [motion] [warning] Current vehicle pose in location_interpolation 306 raws is [120992.53mm, 67331.37mm, -91.18deg]
